epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.3553,0.73187,3.31717,1.1881,0.0046,0.79635,0.07148,0.04288,0.43385,3.58853,0.9588,2.5e-05,2.5e-05,2.5e-05
2,37.1732,0.72752,3.2823,1.12784,0.00523,0.83582,0.15076,0.1051,0.4066,3.56886,0.94837,6.12625e-05,6.12625e-05,6.12625e-05
3,53.5018,0.70977,3.16749,1.20254,0.00718,0.87827,0.25407,0.19393,0.3923,3.54122,0.95322,9.604e-05,9.604e-05,9.604e-05
4,69.9618,0.71659,2.94926,1.19067,0.00978,0.86511,0.29471,0.22597,0.40012,3.51571,0.95683,0.000129332,0.000129332,0.000129332
5,86.0903,0.59338,2.6177,1.11528,0.01544,0.8944,0.33111,0.26489,0.41148,3.47168,0.95836,0.00016114,0.00016114,0.00016114
6,102.704,0.69841,2.28935,1.16224,0.0156,0.84389,0.33284,0.26897,0.42191,3.4151,0.94879,0.000191463,0.000191463,0.000191463
7,119.045,0.63831,2.1384,1.15593,0.01662,0.83879,0.36254,0.29897,0.43343,3.32702,0.94899,0.0002203,0.0002203,0.0002203
8,134.87,0.67504,1.99404,1.13285,0.01589,0.85195,0.36627,0.302,0.42737,3.27115,0.93712,0.000247653,0.000247653,0.000247653
9,150.841,0.6966,2.06565,1.14094,0.95678,0.1135,0.419,0.34958,0.45509,3.14582,0.93795,0.00027352,0.00027352,0.00027352
10,167.183,0.6565,1.98243,1.15976,1,0.08583,0.43357,0.37839,0.45368,3.0839,0.93557,0.000297903,0.000297903,0.000297903
11,183.496,0.63465,1.79546,1.09705,0.75,0.08679,0.45478,0.39567,0.46415,3.0503,0.95722,0.0003208,0.0003208,0.0003208
12,199.284,0.6592,1.79792,1.15252,0.75,0.09577,0.44441,0.37299,0.47873,3.10138,0.97131,0.000342213,0.000342213,0.000342213
13,215.198,0.63098,1.77864,1.13966,0.65517,0.22466,0.49396,0.35579,0.53251,3.14016,1.01609,0.00036214,0.00036214,0.00036214
14,231.114,0.57755,1.49634,1.07263,0.69915,0.17476,0.5134,0.36984,0.55375,3.10511,1.02,0.000380582,0.000380582,0.000380582
15,247.102,0.70224,1.67028,1.15847,0.90317,0.19013,0.53168,0.3969,0.6244,2.99923,1.05929,0.00039754,0.00039754,0.00039754
16,263.201,0.64633,1.66729,1.18577,0.89485,0.24059,0.53104,0.3902,0.62543,2.96543,1.05584,0.000413012,0.000413012,0.000413012
17,279.159,0.61566,1.55153,1.03693,0.67216,0.33513,0.54417,0.45803,0.55778,2.81756,1.00385,0.000427,0.000427,0.000427
18,295.139,0.63866,1.47932,1.11321,0.72107,0.39011,0.55878,0.49596,0.5314,2.67221,0.97967,0.000439502,0.000439502,0.000439502
19,311.5,0.57614,1.50944,1.09507,0.70352,0.44232,0.53626,0.46832,0.5345,2.51689,0.97211,0.00045052,0.00045052,0.00045052
20,328.014,0.65439,1.50423,1.11666,0.81234,0.40998,0.54018,0.46945,0.53521,2.42697,0.97873,0.000460053,0.000460053,0.000460053
21,344.674,0.675,1.49564,1.10974,0.54498,0.47869,0.55041,0.48608,0.51936,2.37938,0.96804,0.0004681,0.0004681,0.0004681
22,360.88,0.66453,1.45846,1.14316,0.563,0.48513,0.56256,0.49181,0.51617,2.37057,0.96978,0.000474663,0.000474663,0.000474663
23,376.965,0.6771,1.41829,1.0888,0.63448,0.5469,0.59089,0.51682,0.50977,2.37019,0.97265,0.00047974,0.00047974,0.00047974
24,393.325,0.65719,1.4876,1.13788,0.63759,0.5625,0.6523,0.57954,0.52089,2.35354,0.9724,0.000483333,0.000483333,0.000483333
25,409.364,0.63543,1.3713,1.07599,0.65593,0.56807,0.67178,0.58463,0.53083,2.28712,0.9789,0.00048544,0.00048544,0.00048544
26,425.567,0.65474,1.37602,1.06577,0.67681,0.62837,0.71231,0.6006,0.53387,2.18024,0.99489,0.000486063,0.000486063,0.000486063
