epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,38.4411,1.56766,0.44156,1,1.4295,0.00019998,0.00019998,0.00019998
2,99.0865,1.24106,0.66234,1,1.12462,0.000402931,0.000402931,0.000402931
3,138.976,0.86524,0.74026,1,0.86003,0.000597522,0.000597522,0.000597522
4,178.189,0.64079,0.76623,1,0.63626,0.000783755,0.000783755,0.000783755
5,219.047,0.39381,0.75325,1,0.58019,0.000961628,0.000961628,0.000961628
6,259.543,0.34156,0.76623,1,0.82862,0.00100101,0.00100101,0.00100101
7,298.63,0.22065,0.77922,1,0.7933,0.000979013,0.000979013,0.000979013
8,1311.72,0.22542,0.77922,1,0.70368,0.000957015,0.000957015,0.000957015
9,1361.83,0.16664,0.7013,1,0.80943,0.000935018,0.000935018,0.000935018
10,1399.33,0.08302,0.72727,1,0.80829,0.00091302,0.00091302,0.00091302
11,1436.66,0.13734,0.75325,1,0.63296,0.000891022,0.000891022,0.000891022
12,1473.89,0.1322,0.81818,1,0.68169,0.000869024,0.000869024,0.000869024
13,1511.47,0.15372,0.83117,1,0.73384,0.000847026,0.000847026,0.000847026
14,1549.03,0.08132,0.81818,1,0.7554,0.000825029,0.000825029,0.000825029
15,1586.75,0.0959,0.83117,1,0.60438,0.000803031,0.000803031,0.000803031
16,1624.2,0.12968,0.81818,1,0.61861,0.000781033,0.000781033,0.000781033
17,1661.34,0.10417,0.84416,1,0.73802,0.000759035,0.000759035,0.000759035
18,1698.52,0.07752,0.81818,1,0.84286,0.000737037,0.000737037,0.000737037
19,1735.82,0.07874,0.80519,1,0.85057,0.00071504,0.00071504,0.00071504
20,1773.71,0.06072,0.81818,1,0.82089,0.000693042,0.000693042,0.000693042
21,1811.09,0.04715,0.80519,1,0.75383,0.000671044,0.000671044,0.000671044
22,1848.57,0.07735,0.79221,1,0.7499,0.000649046,0.000649046,0.000649046
23,1886.4,0.08066,0.81818,1,0.91088,0.000627048,0.000627048,0.000627048
24,1979.81,0.05505,0.83117,1,1.00919,0.000605051,0.000605051,0.000605051
25,2019.73,0.07208,0.80519,1,0.78889,0.000583053,0.000583053,0.000583053
26,2057.78,0.05843,0.80519,1,0.80413,0.000561055,0.000561055,0.000561055
27,2095.6,0.05797,0.79221,1,0.78168,0.000539057,0.000539057,0.000539057
28,2133,0.05598,0.76623,1,1.06848,0.000517059,0.000517059,0.000517059
29,2170.14,0.07988,0.77922,1,0.76577,0.000495062,0.000495062,0.000495062
30,2207.47,0.04768,0.79221,1,0.7864,0.000473064,0.000473064,0.000473064
31,2244.91,0.06117,0.80519,1,1.09059,0.000451066,0.000451066,0.000451066
32,2282.24,0.04633,0.80519,1,0.85776,0.000429068,0.000429068,0.000429068
33,2319.22,0.03762,0.81818,1,0.80843,0.00040707,0.00040707,0.00040707
34,2354.14,0.04952,0.83117,1,0.80145,0.000385073,0.000385073,0.000385073
35,2382.81,0.04729,0.83117,1,0.80529,0.000363075,0.000363075,0.000363075
36,2412.35,0.04842,0.81818,1,0.7389,0.000341077,0.000341077,0.000341077
37,2441.02,0.03826,0.79221,1,0.69118,0.000319079,0.000319079,0.000319079
38,2470.2,0.02762,0.80519,1,0.77201,0.000297081,0.000297081,0.000297081
39,2499.39,0.02554,0.84416,1,0.59892,0.000275084,0.000275084,0.000275084
40,2528.62,0.01763,0.84416,1,0.62886,0.000253086,0.000253086,0.000253086
41,2557.84,0.02355,0.84416,1,0.67535,0.000231088,0.000231088,0.000231088
42,2587.36,0.0487,0.85714,1,0.87352,0.00020909,0.00020909,0.00020909
43,2617.17,0.02404,0.84416,1,0.62908,0.000187092,0.000187092,0.000187092
44,2647.06,0.02665,0.85714,1,0.69859,0.000165095,0.000165095,0.000165095
45,2676.49,0.03015,0.84416,1,0.82388,0.000143097,0.000143097,0.000143097
46,2706.22,0.03964,0.85714,1,0.70186,0.000121099,0.000121099,0.000121099
47,2736.02,0.02992,0.84416,1,0.62148,9.91012e-05,9.91012e-05,9.91012e-05
48,2765.72,0.02653,0.85714,1,0.71048,7.71034e-05,7.71034e-05,7.71034e-05
49,2795.07,0.02511,0.84416,1,0.74361,5.51056e-05,5.51056e-05,5.51056e-05
50,2824.61,0.02741,0.84416,1,0.77413,3.31078e-05,3.31078e-05,3.31078e-05
