epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,30.3432,1.75201,0.53237,1,1.38911,0.00022,0.00022,0.00022
2,60.7821,1.28335,0.79856,1,0.76926,0.00044109,0.00044109,0.00044109
3,91.0451,0.8047,0.92086,1,0.32227,0.000653072,0.000653072,0.000653072
4,121.436,0.57838,0.95683,1,0.29043,0.000855946,0.000855946,0.000855946
5,151.644,0.41644,0.95683,1,0.16808,0.0009208,0.0009208,0.0009208
6,182.237,0.25793,0.97122,1,0.14025,0.000901,0.000901,0.000901
7,212.416,0.28434,0.96403,1,0.23436,0.0008812,0.0008812,0.0008812
8,242.819,0.17681,0.95683,1,0.15084,0.0008614,0.0008614,0.0008614
9,273.103,0.15231,0.96403,1,0.12197,0.0008416,0.0008416,0.0008416
10,303.701,0.14702,0.96403,1,0.10917,0.0008218,0.0008218,0.0008218
11,334.256,0.13859,0.95683,1,0.10684,0.000802,0.000802,0.000802
12,365.221,0.11411,0.96403,1,0.14167,0.0007822,0.0007822,0.0007822
13,395.502,0.10848,0.97122,1,0.13105,0.0007624,0.0007624,0.0007624
14,425.828,0.11158,0.96403,1,0.14526,0.0007426,0.0007426,0.0007426
15,456.105,0.12033,0.97122,1,0.14351,0.0007228,0.0007228,0.0007228
16,486.294,0.11128,0.96403,1,0.21076,0.000703,0.000703,0.000703
17,516.385,0.14443,0.95683,1,0.16152,0.0006832,0.0006832,0.0006832
18,546.54,0.08852,0.96403,1,0.12798,0.0006634,0.0006634,0.0006634
19,576.9,0.08242,0.96403,1,0.21045,0.0006436,0.0006436,0.0006436
20,607.436,0.08654,0.96403,1,0.12089,0.0006238,0.0006238,0.0006238
21,637.671,0.06556,0.96403,1,0.13667,0.000604,0.000604,0.000604
22,667.961,0.07826,0.97122,1,0.17348,0.0005842,0.0005842,0.0005842
23,698.497,0.05415,0.97122,1,0.12557,0.0005644,0.0005644,0.0005644
24,728.772,0.04933,0.97122,1,0.11002,0.0005446,0.0005446,0.0005446
25,759.118,0.07444,0.96403,1,0.11345,0.0005248,0.0005248,0.0005248
26,789.413,0.08719,0.96403,1,0.13292,0.000505,0.000505,0.000505
27,819.806,0.05813,0.97122,1,0.12846,0.0004852,0.0004852,0.0004852
28,850.244,0.04177,0.96403,1,0.17771,0.0004654,0.0004654,0.0004654
29,880.575,0.05895,0.97122,1,0.11726,0.0004456,0.0004456,0.0004456
30,911.093,0.0528,0.97122,1,0.10664,0.0004258,0.0004258,0.0004258
31,941.396,0.03124,0.97122,1,0.12112,0.000406,0.000406,0.000406
32,1008.49,0.05307,0.96403,1,0.11275,0.0003862,0.0003862,0.0003862
33,1053.3,0.04209,0.96403,1,0.17391,0.0003664,0.0003664,0.0003664
34,1083.78,0.0311,0.97122,1,0.16405,0.0003466,0.0003466,0.0003466
35,1114.18,0.05371,0.96403,1,0.22954,0.0003268,0.0003268,0.0003268
36,1144.73,0.0423,0.96403,1,0.22224,0.000307,0.000307,0.000307
37,1178.02,0.03582,0.96403,1,0.16057,0.0002872,0.0002872,0.0002872
38,1210,0.04532,0.96403,1,0.16077,0.0002674,0.0002674,0.0002674
39,1241.6,0.0357,0.96403,1,0.1546,0.0002476,0.0002476,0.0002476
40,1273.11,0.02083,0.96403,1,0.28808,0.0002278,0.0002278,0.0002278
41,1304.72,0.03277,0.96403,1,0.12569,0.000208,0.000208,0.000208
42,1336.04,0.04888,0.97122,1,0.12053,0.0001882,0.0001882,0.0001882
43,1367.55,0.01384,0.96403,1,0.13669,0.0001684,0.0001684,0.0001684
44,1398.87,0.04696,0.96403,1,0.14733,0.0001486,0.0001486,0.0001486
45,1429.82,0.04596,0.96403,1,0.25339,0.0001288,0.0001288,0.0001288
46,1460.13,0.03894,0.96403,1,0.14762,0.000109,0.000109,0.000109
47,1490.67,0.02971,0.96403,1,0.14653,8.92e-05,8.92e-05,8.92e-05
48,1521.3,0.02172,0.96403,1,0.14888,6.94e-05,6.94e-05,6.94e-05
49,1551.68,0.01928,0.96403,1,0.14954,4.96e-05,4.96e-05,4.96e-05
50,1582.36,0.03958,0.96403,1,0.25573,2.98e-05,2.98e-05,2.98e-05
