epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.71597,1.03479,3.32162,1.39457,0.00516,0.81818,0.1398,0.0913,0.62061,3.35965,1.20844,0.0001,0.0001,0.0951
2,8.90274,1.07104,2.98066,1.44256,0.00431,0.81818,0.20078,0.10909,1.36941,3.7106,1.82366,0.000219917,0.000219917,0.0892199
3,10.9308,1.1408,2.5621,1.39299,0.00481,0.87879,0.20385,0.13304,1.27064,3.55821,1.79642,0.000339486,0.000339486,0.0833395
4,12.9784,1.06951,2.21634,1.35718,0.00346,0.63258,0.17275,0.07804,1.51245,3.98929,2.16522,0.000458438,0.000458438,0.0774584
5,14.982,1.06118,2.15757,1.3574,0.00375,0.63258,0.15007,0.03386,1.65058,4.00986,2.43289,0.000576501,0.000576501,0.0715765
6,17.0053,1.07739,2.03276,1.35112,0.00833,0.71591,0.20782,0.10157,1.67122,3.71103,2.40322,0.000693409,0.000693409,0.0656934
7,18.9991,1.09057,1.91284,1.42964,0.47903,0.24667,0.28007,0.13268,1.79677,3.43621,2.522,0.000808898,0.000808898,0.0598089
8,21.0172,1.06132,1.82523,1.3471,0.32648,0.35714,0.34807,0.16745,1.73109,3.51356,2.48336,0.000922707,0.000922707,0.0539227
9,23.0601,1.04684,1.85591,1.35627,0.38051,0.4053,0.30654,0.18748,1.53025,3.91826,2.2022,0.00103458,0.00103458,0.0480346
10,25.0919,1.06793,1.77865,1.3691,0.87497,0.31834,0.28814,0.0917,2.2093,4.80295,3.38224,0.00114426,0.00114426,0.0421443
11,27.1463,1.16064,1.81572,1.4216,0.7799,0.09524,0.13202,0.05243,1.98403,3.51184,2.57868,0.00125151,0.00125151,0.0362515
12,29.5167,1.07262,1.77097,1.3617,0.44905,0.15584,0.11781,0.06773,1.51877,3.24164,2.03107,0.00135609,0.00135609,0.0303561
13,31.8,1.09317,1.67142,1.40521,0.42453,0.32189,0.22406,0.13281,1.50136,2.99852,1.94465,0.00145775,0.00145775,0.0244578
14,34.0459,0.98127,1.59526,1.33415,0.21229,0.35995,0.20343,0.13644,1.40949,3.64417,1.76775,0.00155629,0.00155629,0.0185563
15,36.1708,0.99285,1.67338,1.37242,0.25278,0.25335,0.09658,0.0598,1.49493,4.08511,1.84696,0.00165147,0.00165147,0.0126515
16,38.3998,1.00369,1.61149,1.3302,0.12484,0.2987,0.14266,0.0713,1.67123,4.97917,2.35876,0.0017431,0.0017431,0.0067431
17,40.5865,0.97423,1.51259,1.32751,0.07328,0.12554,0.11589,0.06366,1.63114,5.3284,2.264,0.00181284,0.00181284,0.00181284
18,42.8471,1.03974,1.58528,1.35462,0.49969,0.15584,0.12136,0.07642,1.50785,4.64053,2.18837,0.00178961,0.00178961,0.00178961
19,45.0254,1.08563,1.68824,1.3801,0.45655,0.329,0.1677,0.09857,1.53508,4.00776,2.32211,0.0017652,0.0017652,0.0017652
20,47.2724,1.0113,1.4824,1.31345,0.10227,0.40693,0.12655,0.0538,1.68656,4.91228,2.61426,0.00173964,0.00173964,0.00173964
21,49.4303,1.01691,1.48442,1.34651,0.27806,0.2987,0.2592,0.14333,1.59497,4.02474,2.42752,0.00171296,0.00171296,0.00171296
22,51.5951,1.051,1.50362,1.33999,0.53115,0.47141,0.4374,0.28263,1.59387,2.56178,2.38548,0.00168522,0.00168522,0.00168522
23,53.76,0.9987,1.41583,1.30218,0.51218,0.52002,0.51001,0.36084,1.49349,2.56925,2.07468,0.00165646,0.00165646,0.00165646
24,56.0056,0.98528,1.46802,1.34744,0.52275,0.47075,0.37265,0.24742,1.466,2.37917,2.06529,0.00162671,0.00162671,0.00162671
25,58.173,1.00688,1.44873,1.30152,0.48378,0.50072,0.36463,0.22963,1.49393,2.49922,2.15304,0.00159603,0.00159603,0.00159603
26,60.4106,0.99598,1.423,1.31444,0.28983,0.45988,0.38349,0.1891,1.5161,2.94802,2.23117,0.00156446,0.00156446,0.00156446
27,62.53,0.98089,1.3108,1.31422,0.35559,0.31548,0.33722,0.17027,1.56085,2.98252,2.19669,0.00153205,0.00153205,0.00153205
28,64.6697,0.98338,1.36539,1.34372,0.41428,0.47351,0.39648,0.23258,1.48001,3.09787,2.19168,0.00149885,0.00149885,0.00149885
29,66.8029,0.94729,1.31365,1.32753,0.47938,0.53734,0.43326,0.25466,1.45151,3.05041,2.1802,0.00146491,0.00146491,0.00146491
30,69.0511,1.00404,1.3517,1.31878,0.50029,0.52339,0.4856,0.31691,1.26512,2.48831,1.83951,0.00143029,0.00143029,0.00143029
31,71.2203,0.96435,1.45931,1.304,0.69821,0.57262,0.52216,0.33803,1.24245,2.37982,1.73138,0.00139503,0.00139503,0.00139503
32,73.4468,0.97015,1.27622,1.27329,0.74648,0.57502,0.57392,0.34601,1.34012,2.73416,1.73813,0.00135919,0.00135919,0.00135919
33,75.629,0.90243,1.27213,1.25071,0.47516,0.63299,0.53247,0.33377,1.38041,3.00004,1.76414,0.00132284,0.00132284,0.00132284
34,77.8641,0.92254,1.23046,1.2931,0.59726,0.5395,0.35759,0.20667,1.42324,3.00766,1.86646,0.00128601,0.00128601,0.00128601
35,80.1184,0.92299,1.23825,1.27829,0.5518,0.49188,0.32497,0.19422,1.49092,2.82978,1.9427,0.00124878,0.00124878,0.00124878
36,82.3816,0.96331,1.267,1.25341,0.72615,0.33351,0.38601,0.25984,1.42264,2.50623,1.9391,0.00121119,0.00121119,0.00121119
37,84.5405,0.89265,1.19306,1.24516,0.72108,0.38961,0.42215,0.3017,1.31348,2.52681,1.87073,0.00117331,0.00117331,0.00117331
38,86.8766,0.91549,1.18572,1.2407,0.81644,0.37879,0.4487,0.30634,1.24594,2.2322,1.76591,0.00113519,0.00113519,0.00113519
39,89.495,0.86076,1.12424,1.23072,0.61046,0.5092,0.49132,0.34479,1.34656,2.28644,1.76644,0.00109689,0.00109689,0.00109689
40,91.0748,0.87539,1.1001,1.2249,0.55248,0.48068,0.49241,0.32353,1.66322,2.22206,1.91207,0.00105847,0.00105847,0.00105847
41,92.4822,0.94105,1.23004,1.24409,0.62312,0.57244,0.48708,0.3052,1.68828,2.20164,1.8689,0.00102,0.00102,0.00102
42,93.9188,0.95219,1.23098,1.21935,0.64385,0.48573,0.53161,0.3606,1.35527,1.98727,1.63242,0.000981525,0.000981525,0.000981525
43,95.3398,0.89414,1.10756,1.26008,0.64738,0.46104,0.53285,0.37671,1.24648,1.79584,1.54763,0.00094311,0.00094311,0.00094311
44,96.7619,0.90706,1.11325,1.25559,0.70211,0.60906,0.64086,0.45839,1.16801,1.61785,1.52203,0.000904813,0.000904813,0.000904813
45,98.1602,0.85314,1.09418,1.25241,0.77185,0.63578,0.67459,0.48086,1.22782,1.53413,1.57668,0.000866694,0.000866694,0.000866694
46,99.6251,0.80158,1.05497,1.18102,0.87337,0.52597,0.68977,0.45478,1.27976,1.46574,1.61258,0.000828811,0.000828811,0.000828811
47,101.04,0.8153,1.05266,1.17419,0.65754,0.6928,0.69474,0.45551,1.28685,1.47823,1.59925,0.000791224,0.000791224,0.000791224
48,102.448,0.94395,1.06998,1.22782,0.81956,0.68723,0.68595,0.4286,1.25384,1.53834,1.63671,0.000753988,0.000753988,0.000753988
49,103.86,0.82799,1.07215,1.18858,0.80878,0.68302,0.70215,0.46001,1.22021,1.56585,1.65658,0.000717163,0.000717163,0.000717163
50,105.251,0.84127,0.99887,1.25388,0.80735,0.65693,0.71191,0.51442,1.04293,1.51444,1.55918,0.000680805,0.000680805,0.000680805
51,106.658,0.80103,1.02835,1.19108,0.8475,0.61261,0.69931,0.51325,0.99144,1.47195,1.52694,0.00064497,0.00064497,0.00064497
52,108.076,0.78159,1.00195,1.19583,0.63382,0.68102,0.63686,0.50767,0.94257,1.50465,1.44436,0.000609713,0.000609713,0.000609713
53,109.443,0.77095,1.03157,1.13064,0.8491,0.513,0.63628,0.48484,0.95415,1.54394,1.42468,0.000575089,0.000575089,0.000575089
54,110.809,0.76964,0.91684,1.17575,0.86319,0.5755,0.66351,0.49749,1.04811,1.59698,1.4293,0.000541151,0.000541151,0.000541151
55,112.172,0.82986,0.93519,1.19064,0.88235,0.55628,0.64423,0.47662,1.09601,1.58777,1.45398,0.000507951,0.000507951,0.000507951
56,113.603,0.76659,0.98751,1.15596,0.88335,0.54861,0.66537,0.46736,1.20018,1.53454,1.5197,0.000475541,0.000475541,0.000475541
