Device_Type,Brand,Model,Age_Years,Condition_Label,Condition_Score,Screen_Damage,Body_Damage,Battery_Health,Original_Price,Depreciation_Rate,Current_Market_Price,Resale_Price,Exchange_Price,Repair_Cost,Refurbished_Price,Demand_Score,Best_Action,Profit_if_Repaired,OLX_Resale_Price,Cashify_Exchange_Price,Price_Variation_%
Laptop,Acer,Aspire 7,3,Good,95,No,No,72,70000,0.17,40025,38023,27487,0,47528,69,Repair,9505,34300,25684,-9.79
Laptop,Acer,Aspire 7,2,Good,94,No,No,93,70000,0.29,35287,33169,25009,0,41461,52,Repair,8292,36083,22336,8.79
Laptop,Acer,Aspire 7,4,Good,93,No,No,77,70000,0.21,27265,25356,21770,0,31695,57,Repair,6339,26975,19559,6.39
Laptop,Acer,Aspire 7,3,Good,92,No,No,48,70000,0.14,44523,40961,31222,0,51201,72,Repair,10240,44502,27085,8.64
Laptop,Acer,Aspire 7,4,Good,92,No,No,44,70000,0.24,23353,21484,16737,0,26855,59,Repair,5371,20668,14385,-3.8
Laptop,Acer,Aspire 7,2,Good,91,No,No,90,70000,0.11,55447,50456,36929,0,63070,62,Repair,12614,54940,36373,8.89
Laptop,Acer,Aspire 7,4,Good,91,No,No,94,70000,0.2,28672,26091,20415,0,32613,69,Repair,6522,26659,19858,2.18
Laptop,Acer,Aspire 7,5,Good,90,No,No,63,70000,0.14,32929,29636,26078,0,37045,44,Repair,7409,29138,24058,-1.68
Laptop,Acer,Aspire 7,2,Good,88,No,No,97,70000,0.16,49391,43464,33422,0,54330,76,Repair,10866,45740,32518,5.24
Laptop,Acer,Aspire 7,1,Good,86,No,No,46,70000,0.2,56000,48160,39243,0,60200,47,Repair,12040,46819,38790,-2.78
Laptop,Acer,Aspire 7,2,Good,85,No,No,46,70000,0.26,38332,32582,23171,0,40727,59,Repair,8145,30407,23629,-6.68
Laptop,Acer,Aspire 7,2,Good,85,No,No,88,70000,0.2,44800,38080,26738,0,47600,79,Repair,9520,35724,26988,-6.19
Laptop,Acer,Aspire 7,3,Good,84,No,No,50,70000,0.21,34512,28990,21166,0,36237,40,Repair,7247,28944,21043,-0.16
Laptop,Acer,Aspire 7,6,Good,83,No,No,44,70000,0.1,37200,30876,26353,0,38595,57,Repair,7719,29455,24660,-4.6
Laptop,Acer,Aspire 7,5,Good,82,No,No,78,70000,0.19,24407,20013,16509,0,25016,72,Repair,5003,21213,17214,6.0
Laptop,Acer,Aspire 7,2,Good,79,No,No,44,70000,0.21,43687,34512,28414,0,43140,41,Repair,8628,35306,28353,2.3
Laptop,Acer,Aspire 7,3,Good,79,No,No,70,70000,0.27,27231,21512,18730,0,26890,44,Repair,5378,22570,17029,4.92
Laptop,Acer,Aspire 7,2,Good,78,No,No,81,70000,0.12,54208,42282,30579,0,52852,46,Repair,10570,39256,27904,-7.16
Laptop,Acer,Aspire 7,2,Good,78,No,No,54,70000,0.24,40432,31536,25188,0,39420,67,Repair,7884,29544,26234,-6.32
Laptop,Acer,Aspire 7,6,Good,78,No,No,94,70000,0.18,21280,16598,12938,0,20747,47,Repair,4149,16472,11128,-0.76
Laptop,Acer,Aspire 7,3,Good,76,No,No,57,70000,0.2,35840,27238,19546,0,34047,85,Repair,6809,27027,19957,-0.77
Laptop,Acer,Aspire 7,6,Average,75,No,No,80,70000,0.28,9751,7313,5690,0,9141,58,Resell,1828,7020,5794,-4.01
Laptop,Acer,Aspire 7,3,Average,75,No,No,86,70000,0.21,34512,25884,20462,0,32355,90,Repair,6471,28217,18129,9.01
Laptop,Acer,Aspire 7,6,Average,75,No,No,46,70000,0.25,12458,9343,7783,0,11678,68,Resell,2335,10147,6784,8.61
Laptop,Acer,Aspire 7,5,Average,74,No,No,53,70000,0.29,12629,9345,8107,0,11681,87,Resell,2336,9487,8445,1.52
Laptop,Acer,Aspire 7,4,Average,73,No,No,46,70000,0.28,18811,13732,9689,0,17165,60,Repair,3433,13049,8616,-4.97
Laptop,Acer,Aspire 7,2,Average,72,No,No,81,70000,0.1,56700,40824,32453,0,51030,73,Repair,10206,39360,31803,-3.59
Laptop,Acer,Aspire 7,2,Average,67,No,No,70,70000,0.26,38332,25682,20544,0,32102,64,Repair,6420,28098,20076,9.41
Laptop,Acer,Aspire 7,5,Average,65,No,No,67,70000,0.18,25951,16868,12484,0,21085,50,Repair,4217,15563,11125,-7.74
Laptop,Acer,Aspire 7,4,Average,62,No,Yes,86,70000,0.12,41978,26026,19866,3123,32532,59,Repair,3383,23654,17059,-9.11
Laptop,Acer,Aspire 7,2,Average,61,No,Yes,83,70000,0.1,56700,34587,26884,3037,43233,82,Repair,5609,33609,23869,-2.83
Laptop,Acer,Aspire 7,5,Average,60,No,Yes,97,70000,0.21,21539,12923,9205,2060,16153,94,Resell,1170,13147,9277,1.73
Laptop,Acer,Aspire 7,1,Average,59,Yes,Yes,74,70000,0.28,50400,29736,26583,7366,37170,66,Resell,68,27658,24790,-6.99
Laptop,Acer,Aspire 7,5,Average,58,Yes,Yes,100,70000,0.25,16611,9634,7930,4546,12042,71,Resell,-2138,10344,7359,7.37
Laptop,Acer,Aspire 7,1,Average,58,Yes,Yes,42,70000,0.12,61600,35728,25394,6915,44660,67,Resell,2017,34362,25620,-3.82
Laptop,Acer,Aspire 7,2,Average,57,Yes,Yes,98,70000,0.21,43687,24901,21992,8234,31126,62,Resell,-2009,24548,20324,-1.42
Laptop,Acer,Aspire 7,3,Poor,54,Yes,Yes,41,70000,0.14,44523,24042,17525,4947,30052,54,Resell,1063,22981,16372,-4.41
Laptop,Acer,Aspire 7,4,Poor,54,Yes,Yes,75,70000,0.16,34850,18819,16751,8780,23523,84,Resell,-4076,19497,15292,3.6
Laptop,Acer,Aspire 7,1,Poor,53,Yes,Yes,66,70000,0.25,52500,27825,20745,6023,34781,49,Resell,933,27143,18649,-2.45
Laptop,Acer,Aspire 7,3,Poor,52,Yes,Yes,81,70000,0.21,34512,17946,13890,7217,22432,89,Resell,-2731,17111,13521,-4.65
Laptop,Acer,Aspire 7,5,Poor,51,Yes,Yes,55,70000,0.26,15533,7921,6566,4869,9901,61,Resell,-2889,7668,6015,-3.19
Laptop,Acer,Aspire 7,1,Poor,50,Yes,Yes,93,70000,0.12,61600,30800,22834,4344,38500,48,Repair,3356,28435,20599,-7.68
Laptop,Acer,Aspire 7,5,Poor,49,Yes,Yes,91,70000,0.22,20210,9902,7007,9373,12377,89,Resell,-6898,10139,6595,2.39
